playerID,Age,MarketValue,Wage,rating
2,33,0.625,0.006,69
6,38,0,0,70
11,32,0.23,0.004,63
16,36,0.575,0.007,70
27,33,1.1,0.02,71
28,33,2.1,0.02,73
41,31,43,0.22,88
58,34,0.27,0.006,68
61,27,0,0,66
80,34,1.6,0.025,74
158,31,0,0,69
164,34,1.4,0.025,73
185,41,0,0,65
195,35,0,0,64
201,32,0,0,68
241,39,0,0.075,78
244,35,0,0,76
245,34,0,0,71
246,37,0,0,80
249,35,0,0,74
250,37,0,0,78
268,35,0,0,67
269,37,0,0,61
330,34,7.5,0.05,80
388,35,0,0,75
450,31,0,0,69
492,35,0.4,0.025,73
496,36,0,0,61
552,33,0,0,76
560,36,0,0,70
595,34,0,0,66
599,32,0,0,64
603,39,0,0,67
607,32,0,0,61
614,33,0,0,73
636,25,0,0,81
642,32,0,0,65
646,34,0,0,68
657,32,0.5,0.01,68
684,42,0.5,0.015,73
694,37,0.02,0.005,66
722,38,0,0,73
760,34,0,0,69
766,38,0,0,65
768,30,2.1,0.035,73
805,39,0,0,79
806,35,0,0,68
838,34,0.05,0.004,61
853,32,0,0,70
889,33,0,0,64
899,38,0,0,74
942,34,0,0,76
953,36,0,0,65
965,32,0,0,62
1041,39,0,0,75
1046,35,0.35,0.02,71
1075,38,0.025,0.005,70
1085,37,0,0,75
1088,37,0,0,73
1099,37,0.375,0.035,74
1102,39,0.035,0.006,66
1109,40,0,0,77
1111,36,0,0,78
1131,36,0,0,77
1173,35,0,0,67
1175,33,0,0,75
1177,32,0,0,67
1178,34,1.3,0.03,75
1179,37,9,0.13,84
1183,35,0,0,82
1184,35,0,0,69
1198,37,0,0,73
1210,34,0.325,0.006,69
1219,37,1.3,0.04,75
1221,29,0,0,66
1222,35,0,0,61
1229,32,0,0,65
1235,31,0,0,72
1238,38,1,0.07,79
1256,37,0,0,82
1257,35,0,0,69
1275,35,0,0,74
1277,33,0,0,73
1283,30,0,0,74
1289,34,1.1,0.015,70
1323,32,0,0,59
1373,34,0,0,75
1393,34,0,0,65
1408,34,0,0,69
1412,34,0,0,74
1419,34,0,0,76
1443,30,0,0,73
1479,32,0,0,65
1517,36,0,0,67
1518,32,0,0,59
1539,34,0.15,0.005,65
1551,35,0,0,73
1565,35,0,0,65
1595,34,0,0,61
1605,36,0,0,75
1611,35,2.4,0.045,80
1625,36,0,0,79
1637,31,0,0,67
1647,34,0,0,65
1668,37,0,0,74
1672,34,0,0,68
1677,37,0,0,72
1678,31,0,0,72
1731,35,0,0,64
1737,35,0,0,67
1742,33,0,0,66
1747,37,0,0,75
1777,33,0,0,76
1803,33,2.7,0.035,75
1860,37,0.004,0.003,59
1880,31,0,0,61
1889,33,0,0,61
1983,35,0.11,0.007,67
2002,29,0,0,63
2062,34,0,0,69
2091,35,0.08,0.004,65
2115,34,0,0,65
2116,34,0,0,65
2128,31,0,0,67
2135,34,0.2,0.008,67
2138,31,0,0,65
2141,29,0,0,69
2147,32,4,0.05,76
2151,34,0.1,0.001,63
2152,32,0.575,0.003,67
2153,31,0,0,69
2155,34,0.375,0.008,67
2162,36,0,0,67
2164,27,0,0,61
2172,35,0.05,750,63
2181,35,0.15,0.008,67
2196,34,6.5,0.08,79
2204,33,0,0,64
2208,32,0.35,0.007,66
2231,37,0.08,0.004,66
2235,30,0,0,73
2264,36,0.08,0.009,67
2335,35,0.21,0.004,65
2392,31,0.29,0.005,62
2431,41,0,0,77
2454,32,0,0,61
2488,35,0.4,0.05,73
2492,31,4.4,0.06,77
2506,34,0,0,61
2518,29,0,0,68
2572,31,0,0,73
2587,39,0,0.007,67
2622,37,0,0,70
2629,33,0,0,59
2651,39,0.575,0.025,74
2655,26,0,0,59
2742,32,0,0,69
2769,32,0.925,0.025,71
2799,32,0,0,62
2823,33,0,0,66
2837,36,0.035,750,63
2956,32,0,0,76
2992,39,0,0,65
3041,34,0,0,73
3078,32,0.75,0.02,70
3081,37,0,0,65
3148,35,0,0,59
3174,39,0,0,63
3189,38,0.09,0.001,68
3216,35,0,0,67
3235,36,0,0,64
3246,29,0.625,0.007,66
3264,33,0,0,71
3281,31,2.8,0.03,74
3325,34,0,0,68
3337,33,0,0,63
3363,32,0.55,0.025,71
3364,36,0,0,74
3395,33,0.525,0.006,68
3448,34,0,0,70
3455,27,0,0,66
3484,34,1.3,0.03,75
3492,34,0,0,67
3563,33,0,0,65
3622,37,0,0.05,78
3647,34,0,0,80
3654,32,0,0,76
3665,38,0.3,0.025,73
3712,39,0,0,75
3721,34,0,0,66
3765,36,0,0,67
3772,34,0,0,64
3790,36,0,0,70
3801,35,0,0,74
3813,34,0,0,81
3869,34,0,0,57
3912,33,0,0,76
3973,32,0,0,64
3974,35,0.725,0.004,72
4001,39,0,0,75
4006,31,0,0,75
4077,33,0,0,74
4083,34,0,0,74
4086,33,0,0,65
4098,34,7,0.08,80
4105,34,0,0,73
4110,32,0,0,67
4111,34,1,0.025,75
4114,34,0,0,63
4155,33,0,0,65
4173,35,0,0,60
4190,33,0,0,61
4202,34,0,0,78
4205,35,0,0,69
4238,33,0,0,65
4240,35,0.1,0.001,62
4246,38,0,0,58
4323,35,0.16,0.001,62
4353,35,0,0,63
4360,35,0,0,62
4381,34,0,0,66
4421,33,0,0,60
4459,37,0,0,76
4495,31,0,0,74
4498,36,0,0,67
4505,36,0,0,66
4514,36,0,0,73
4556,35,0,0,74
4596,34,0,0,67
4600,35,0,0,68
4633,36,0,0,63
4667,38,1.2,0.05,77
4695,35,0,0,68
4724,36,0,0,70
4731,34,0,0,72
4732,35,0.17,0.006,69
4739,39,0,0,70
4769,32,0,0,73
4806,39,0.09,0.015,70
4832,34,0.475,0.001,69
4858,33,0,0,74
4864,37,0,0,67
4873,33,0,0,68
4985,39,0.05,0.006,64
4999,34,0.35,0.003,65
5047,34,0,0,67
5060,35,0,0,74
5099,34,0,0,76
5112,38,0,0,71
5134,34,0.15,0.005,66
5138,40,0,0,61
5171,32,0,0,66
5203,35,0,0,71
5208,35,0.6,0.005,69
5213,33,3.1,0.04,77
5231,31,0.1,0.005,63
5237,36,0,0,74
5244,37,0,0,72
5255,32,0,0,69
5267,33,0,0,63
5279,36,0,0,67
5336,32,0,0,64
5345,33,0,0,74
5401,36,0.04,0.006,65
5417,33,0,0,60
5419,32,0,0,74
5430,35,0,0,72
5440,33,0.23,0.005,64
5445,34,0.04,750,59
5459,32,0,0,71
5460,38,0,0,70
5461,35,0.11,0.005,66
5467,34,0,0,77
5471,37,0.475,0.04,77
5479,34,13,0.1,82
5485,34,1.9,0.065,78
5533,33,0,0,60
5547,38,0,0,66
5550,31,0.3,750,65
5566,31,0,0,64
5589,35,0,0,78
5594,35,3.1,0.04,76
5645,34,0,0,61
5661,33,0,0,78
5679,34,0,0,64
5688,35,0,0,65
5704,34,0,0,74
5721,32,0,0,72
5738,32,0.45,0.01,69
5739,37,0,0,71
5741,34,0,0,71
5744,36,0.25,0.02,72
5750,33,0,0,72
5809,34,1.8,0.045,77
5818,35,0.15,0.009,68
5819,34,0,0,63
5860,30,0,0,69
5879,32,2.7,0.04,74
5965,36,0,0,70
5984,35,0.85,0.006,74
6016,35,0.15,0.008,67
6083,33,0,0,72
6122,33,0.1,0.001,58
6139,31,0,0,71
6159,36,0.15,0.025,70
6186,35,0.1,0.005,65
6190,36,0,0,62
6207,35,0,0,71
6235,35,0,0,80
6251,35,0,0,68
6338,31,0,0,72
6398,34,0,0,64
6422,31,0,0,72
6490,32,0,0,64
6541,32,0,0,70
6550,33,0,0,70
6591,30,0,0,60
6645,34,0,0,65
6647,35,0.15,750,69
6665,35,0.1,0.005,64
6716,33,0,0,66
6720,30,0,0,66
6747,32,0,0,75
6775,31,0,0,74
6799,31,0,0,62
6800,31,0,0,65
6803,34,0,0,67
6826,34,3.1,0.06,79
6862,34,0,0,64
6895,38,0.35,0.015,72
6908,33,0,0,78
6971,33,0,0,72
6975,33,0,0,74
7080,35,0,0,64
7142,33,0,0,76
7264,35,0,0,67
7274,32,0,0,66
7280,29,0,0,64
7289,35,0.55,0.03,75
7306,35,0,0,65
7384,31,0,0,69
7391,34,0,0,70
7434,34,0,0,72
7455,37,0,0,75
7467,33,0,0,64
7512,35,0,0,76
7514,34,0,0,74
7517,37,0.025,0.006,66
7558,33,0,0,65
7584,39,0.15,0.006,68
7597,38,0.06,0.002,63
7604,32,0,0,64
7610,31,0,0,62
7612,36,0,0.002,63
7631,32,8,0.07,79
7647,36,0,0.025,74
7656,33,0.29,0.005,64
7674,37,0.22,0.006,67
7687,37,0.03,0.008,67
7708,27,0,0,71
7738,33,0,0,62
7743,35,1.8,0.021,73
7754,32,0,0,72
7763,36,1.4,0.05,81
7766,33,0,0,68
7767,30,0,0,64
